artist,album,track,uri,genero_principal,generos_secundarios
Kevin Kaarl,Hasta el Fin Del Mundo,Vámonos a Marte,spotify:track:2TzkIzgzIHhewMxyh1u4hh,Indie Folk,"Acoustic, Folk Latinoamericano"
Los Besos,Matemática sentimental,Chica de los trenes,spotify:track:1Wqnuo41w7k6ySxupcXWZ3,Indie Pop,"Canción de Autor, Art Pop"
The Lumineers,Cleopatra,Sick In The Head,spotify:track:1tHBYwDdPOE9BMPlMGoZIj,Indie Folk,"Americana, Acoustic"
Fun People,The Art(E) of Romance,Si Pudiera (Desde Usuaia),spotify:track:3pYV0r8RY5Vy3POxh7GKFl,Hardcore Punk,"Melodic Hardcore, Alternative Rock"
Kings of Leon,Only By The Night,Sex on Fire,spotify:track:0ntQJM78wzOLVeCUAW7Y45,Alternative Rock,"Garage Rock Revival, Southern Rock"
Winona Riders,El Sonido Del Éxtasis,Más Fuerte Que El Sol,spotify:track:4xVLQ1qZoFo0DNK75gUj4A,Krautrock / Garage Rock,"Post-Punk, Psychedelic Rock"
Silvio Rodríguez,Cita Con Ángeles,Mi Casa Ha Sido Tomada por las Flores,spotify:track:6XUwj7BMAizzkSyjflEHwG,Nueva Trova Cubana,"Trova, Canción de Autor"
Serú Girán,La Grasa de las Capitales: Edición 40º Aniversario,Perro Andaluz - 2019 Remasterizado,spotify:track:2PK1ChlU52pJOFuFnKRLE2,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock"
Arcade Fire,Everything Now (Todo Ya) - Remix por Bomba Estéreo,Everything Now (Todo Ya) - Remix por Bomba Estéreo,spotify:track:6oxQ2tiIXtydhEOIFJiYqC,Indie Rock,"Art Rock, Alternative Rock"
Intoxicados,No Es Solo Rock And Roll,Don Electrón,spotify:track:7BmZ9hWbsZPa5Lf1jVdnxg,Indie / Unmapped,Alternative / Various
Frank Ocean,Blonde,Nikes,spotify:track:19YKaevk2bce4odJkP5L22,Indie / Unmapped,Alternative / Various
Perotá Chingó,Momentánea,Momentánea,spotify:track:1eLXjariIFQNSwzXoTNWBl,World Music,"Folk Latinoamericano, Acoustic Indie"
MissLupe,Nuestros Besos,Nuestros Besos,spotify:track:6AvYedRDCjtQz8IYYRWYiZ,Indie Pop,Pop Urbano
Sui Generis,Pequenas Anécdotas Sobre Las Instituciones,Juan Represión,spotify:track:6MmAJ62nNmwEru24dcHACu,Rock Argentino,"Folk Rock, Progressive Rock"
Los Mundos Posibles,Pintura de Guerra,La Guerra del Japón,spotify:track:2hdNRbAuLN8LxRPQi45hvB,Indie Pop,"Dream Pop, Slowcore"
Palo Pandolfo,Siervo,La Idea,spotify:track:4ny4cMxJ1tYvJb34NcVMHU,Indie / Unmapped,Alternative / Various
Lesbiandrama,Lesbiandrama,Trago Sin Terminar,spotify:track:4jstoiX3RRUewwyMIpNPgS,Indie / Unmapped,Alternative / Various
Lykke Li,I Follow Rivers,I Follow Rivers - The Magician Remix,spotify:track:4Jv7lweGIUOFQ7Oq2AtAh9,Indie / Unmapped,Alternative / Various
The Flaming Lips,Yoshimi Battles the Pink Robots,Fight Test,spotify:track:0ScgmigVOJr2mFsAtwFQmz,Neo-Psychedelia,"Indie Rock, Space Rock, Experimental"
Serú Girán,La Grasa de las Capitales: Edición 40º Aniversario,Frecuencia Modulada - 2019 Remasterizado,spotify:track:6uiwOEnQswhW5WwgsThnSO,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock"
Jeites,Desde la Tierra,Polvo de estrellas,spotify:track:0bJzMGfpvXxU8dVLnMtoR0,Folk Rock,"Reggae Fusion, Canción Latinoamericana"
The Strokes,Room On Fire,12:51,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,Indie / Unmapped,Alternative / Various
Indio Solari,"El Ruiseñor, el Amor y la Muerte",La Oscuridad,spotify:track:56n94C7lJHOI1BbDQ4K9Rg,Rock Argentino,"Hard Rock, Art Rock"
Mora y los Metegoles,Suerte,Vestida Para Morir,spotify:track:3TKAgC3yCRumD8Vw487ITS,Indie Rock,"Garage Rock, Post-Punk"
Pedro Aznar,Cuerpo y Alma,El Tungue Le,spotify:track:1tWOF7QcE0B9s6FrXIwzDw,Canción de Autor,"Jazz Fusion, Folklore Fusion, Pop Rock"
José González,Local Valley,Head On,spotify:track:4g3gJ17wsFSnq3umABqTTZ,Indie Folk,"Acoustic, Singer-Songwriter"
Gauchito Club,Soy débil Sr.,Soy débil Sr.,spotify:track:4zN8UMrNeEoJSggUC5EfBn,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock"
Patricio Rey y sus Redonditos de Ricota,¡Bang! ¡Bang!... Estás Liquidado,Rock para los Dientes,spotify:track:1xJk0K83KnHsH2ZPx6CwEr,Rock Argentino,"Post-Punk, Hard Rock"
Charli xcx,BRAT,Von dutch,spotify:track:3Y1EvIgEVw51XtgNEgpz5c,Hyperpop,"Dance-Pop, Synth-Pop, Electronic"
Duratierra,A los amores - El folklórico Vol. 1,Te miré por vez primera,spotify:track:0aWqdBJ4h2syD0oSJO0V5G,Folklore Argentino,"Canción Latinoamericana, Fusion Folk"
Gustavo Cerati,+ bien,Llegaste,spotify:track:2ERsOI9yPePHyAFqDy58EW,Rock Argentino,"Art Rock, Alternative Rock, Electronic Fusion"
Bob Dylan,Tell Tale Signs: The Bootleg Series Vol. 8,"Cocaine Blues - Live at Filene Center, Vienna, VA - August 1997",spotify:track:40CxL2oP0MHZQApVsEBieu,Folk Rock,"Singer-Songwriter, Classic Rock"
No Doubt,Tragic Kingdom,Sunday Morning,spotify:track:6yCjhDzcVIfxvTjBKhhn7P,Indie / Unmapped,Alternative / Various
The Beatles,Rubber Soul,Norwegian Wood (This Bird Has Flown) - Remastered 2009,spotify:track:1H7gMYGykdtwZOV6s1N0by,Indie / Unmapped,Alternative / Various
El Mató a un Policía Motorizado,Diamante Roto,Diamante Roto,spotify:track:6mbN4jhQvgyDYL2bK6tQKx,Indie Rock,"Post-Punk, Space Rock, Noise Pop"
Nacho Vegas,Desaparezca Aquí,La Noche Más Larga del Año,spotify:track:5ZHZIrCkkIrBaSYWaQBQ1A,Indie / Unmapped,Alternative / Various
Kevin Johansen,Suzanne (feat. Jorge Drexler),Suzanne (feat. Jorge Drexler),spotify:track:61Ue2D3TFTFcDDTjMJEDHz,Indie / Unmapped,Alternative / Various
Sig Ragga,Aquelarre,Pensando,spotify:track:0NimZkLHKntC4ypPe6Y3FO,Indie / Unmapped,Alternative / Various
Silvio Rodríguez,Silvio,El Necio,spotify:track:7aBjLA5CsRufTkt0hGmCA3,Nueva Trova Cubana,"Trova, Canción de Autor"
Srta. Trueno Negro,El Sonido De La Felicidad,La Cura,spotify:track:4mc8nwGDJ9HUB3iyeadFQO,Indie / Unmapped,Alternative / Various
Mercedes Sosa,Censurada. Edición Definitiva: Y Seguí Cantando,Fuego En Anymaná,spotify:track:5lGciCFB6o8ojhKtQxvfz2,Indie / Unmapped,Alternative / Various
Babasonicos,Jessico,Soy Rock,spotify:track:7gAJJUgHyiaNrpbyBLmKff,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Babasonicos,Trinchera - Single,Trinchera,spotify:track:5gGQIro4l0L55dfk85WxUP,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
El Mató a un Policía Motorizado,La Dinastía Scorpio,Chica de Oro,spotify:track:6gqqdXshLNeVIXUV7B5O6p,Indie Rock,"Post-Punk, Space Rock, Noise Pop"
Silvio Rodríguez,Silvio,Quién Fuera,spotify:track:5mLuPM0CpoXyrBncooRJZa,Nueva Trova Cubana,"Trova, Canción de Autor"
Charly García,Pubis Angelical / Yendo De La Cama Al Living,Transatlántico Art Deco,spotify:track:0sYl26HMLKOxFy3tlvHcVB,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Kali Uchis,I Wish you Roses,I Wish you Roses,spotify:track:6BQrmjAgPfPTwILoFEK3Hd,Neo-Soul,"Bedroom Pop, R&B, Reggaeton Pop"
Usted Señalemelo,II,Laser 420,spotify:track:65bYrWdPfqj4HpxSjggtz9,Indie Rock,"Art Rock, Synth-Pop, Dance Rock"
Esmeralda Escalante,Santa Basura [1],Volcán,spotify:track:2QkaRrAMx0akBN4gSMo7na,Indie / Unmapped,Alternative / Various
Pixies,Come On Pilgrim,Caribou,spotify:track:0zClrkFd5UQuUFys243KjP,Indie / Unmapped,Alternative / Various
Axel Fiks,Idilio,Mili,spotify:track:6C1Qm7bxMckkj8EM6onZkB,Indie Pop,"R&B Urbano, Bedroom Pop"
Serú Girán,Bicicleta,¿Cuánto Tiempo Más Llevará? - Remastered 2012,spotify:track:0bsAe4OFg4QoRQvfzS8U3m,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock"
Gabo Ferro,Boca arriba,Por qué no llorás un poco,spotify:track:3lePpPaajK9FKy2Klilky4,Canción de Autor,"Rock de Cámara, Experimental Folk"
David Bowie,Let's Dance,China Girl - 2018 Remaster,spotify:track:5Ei9o2fHEnfHb84YrPuz4v,Indie / Unmapped,Alternative / Various
The Smiths,The Sound of the Smiths,Stretch out and Wait - 2008 Remaster,spotify:track:0iydTZZyGG8busIHM7Mewb,Indie Pop,"Jangle Pop, Post-Punk"
Ainda,MILLONES,Arriba y abajo,spotify:track:0v9wa3PZOfnHfAqhMSVJLF,Indie Pop,"Indie Folk, Canción Pop / Canción Urbana"
Miguel Abuelo,Buen Dia Dia,Verili,spotify:track:4NTUBSUfWABNiT9KywJmz9,Rock Argentino,"Psych Rock, Folk Rock, Canción de Autor"
El Mató a un Policía Motorizado,El Nuevo Magnetismo (2003 - 2011),Sábado,spotify:track:77bPb4aA6Kllu8IbOi732c,Indie Rock,"Post-Punk, Space Rock, Noise Pop"
Hermanos Gutiérrez,El Camino De Mi Alma,El Camino De Mi Alma,spotify:track:4JjqJhEW00zcGiMIsunf0X,Indie / Unmapped,Alternative / Various
Los Fabulosos Cadillacs,Yo Te Avisé,Yo No Me Sentaría en Tu Mesa - Remasterizado 2008,spotify:track:7Jy41XI7wVBnXvOifdoaxG,Indie / Unmapped,Alternative / Various
Lisandro Aristimuño,El Rostro de los Acantilados,1986,spotify:track:2ni6Kf6iL1V40Gf9cY23o9,Canción de Autor,"Folktronica, Indie Folk"
Red Hot Chili Peppers,Unlimited Love,Here Ever After,spotify:track:0zckHMfaB6vT5o23ZVBLHJ,Alternative Rock,"Funk Rock, Hard Rock"
Alejandro y Maria Laura,Aparato,Aparato,spotify:track:0n35rbkfEiQMKHHOgUcvdV,Canción de Autor,"Indie Pop, Folk Latinoamericano"
Milo j,La Vida Era Más Corta,Solifican12,spotify:track:4fDmgQfKMY7GcAwp2nNoQ0,Indie / Unmapped,Alternative / Various
An Espil,Chance,Chance,spotify:track:252zSFXSjQLM6FV8qjCSHo,Indie / Unmapped,Alternative / Various
NAFTA,Nafta,Vos No,spotify:track:17mWqjqxQBMWkcnQ1tYm9r,Neo-Soul,"R&B, Funk Calmo"
Moris,Treinta Minutos de Vida,Pato Trabaja en una Carnicería,spotify:track:1hSypyqfB0iSx5FALwJDXw,Indie / Unmapped,Alternative / Various
Nico,Chelsea Girl,The Fairest Of The Seasons,spotify:track:3YX4WviUJiDEov6IrAdFYD,Indie / Unmapped,Alternative / Various
M83,"Hurry up, We're Dreaming",Outro,spotify:track:1s9i7W8zx7Nxx78MUIsvjV,Synth-Pop,"Shoegaze, Ambient Electronic, Post-Rock"
The Rolling Stones,Aftermath (UK Version),Out Of Time,spotify:track:5RFYhFsx88Ged9UNmv5ORj,Classic Rock,"Blues Rock, Roots Rock"
Polo & Pan,Cyclorama,Les jolies choses,spotify:track:2t0wmn0Czqtr8LjzlL61Ux,Electro-Tropical,"French Touch, Downtempo, House"
Bob Marley & The Wailers,Uprising,Pimper's Paradise,spotify:track:5JqCmd41S3PZ2AS6GuHqcR,Reggae,Roots Reggae
Tonolec,Plegaria del Árbol Negro,Ay Corazoncito,spotify:track:2ozNgEixJAuQ9FqAY7y4An,Indie / Unmapped,Alternative / Various
Sui Generis,Vida,Mariel y el Capitán,spotify:track:3O0yOE56Ff0dwHDaKvziWq,Rock Argentino,"Folk Rock, Progressive Rock"
Charly García,La Hija de la Lágrima,Víctima,spotify:track:2RonMv1WBqjjuwcfAOC9Sg,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Joni Mitchell,Clouds,Both Sides Now,spotify:track:3NW1YMA8kfNVTzGJCGBS8m,Folk,"Singer-Songwriter, Vocal Jazz"
Patricio Rey y sus Redonditos de Ricota,Luzbelito,Blues de la Libertad,spotify:track:2v1MUyNu1vpGr02OaexRdr,Rock Argentino,"Post-Punk, Hard Rock"
Buena Vista Social Club,Buena Vista Social Club,El Cuarto de Tula,spotify:track:5UjaOsrdoI4shw9gM2eNPC,Música Cubana,"Son Cubano, Guajira"
Adrián Berra,El Funeral,A Canuto,spotify:track:4qWM8ORW52g7wZAlnCkHL8,Canción de Autor,"Indie Folk, Canción Platense"
Las Pelotas,Brindando por Nada,Víctimas del Cielo,spotify:track:2LPq1zhFHJsCgXXKDA4RFd,Rock Argentino,"Reggae Rock, Post-Punk"
Secos & Molhados,Dois momentos,Flores Astrais,spotify:track:1PJav3utD7mvErlUwKC40c,Indie / Unmapped,Alternative / Various
Eddie Vedder,Into The Wild,Guaranteed,spotify:track:4LGF2tDg3878bs0mQPByZ4,Acoustic Folk,"Singer-Songwriter, Alternative Rock"
Babasonicos,Carolo,Lajotape,spotify:track:7vA6o1whQ4hVesoHb6WsH6,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Martín Buscaglia,El Evangelio Según Mi Jardinero,Viajar Contigo Es Como Escuchar la Vida Secreta de las Plantas,spotify:track:1MF10oKGF6Q3maU8Hyjqes,MPB Latino / Fusion,"Funk, Candombe Fusion, Pop Experimental"
Silvio Rodríguez,Al Final de Este Viaje...,Óleo de Mujer Con Sombrero,spotify:track:1w6mcMacExya7bvbElMuar,Nueva Trova Cubana,"Trova, Canción de Autor"
Arcade Fire,Funeral,Haiti,spotify:track:3Gkl2fJztF2B3fnUheejAA,Indie Rock,"Art Rock, Alternative Rock"
Patricio Rey y sus Redonditos de Ricota,Luzbelito,Juguetes Perdidos,spotify:track:3TIkut2zp86kcWkzyGEFCS,Rock Argentino,"Post-Punk, Hard Rock"
Usted Señalemelo,Xtrapolar,la vivida noche,spotify:track:5aSl2rGsSOpIoZ2kNudE3h,Indie Rock,"Art Rock, Synth-Pop, Dance Rock"
Charly García,Piano Bar,No Se Va A Llamar Mi Amor,spotify:track:5HWfFv6sEBnpfRgJYOSCPv,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
WOS,CARAVANA,MELÓN VINO,spotify:track:5uHAzGa4d9j35DEbhUwGhi,Alternative Hip-Hop,"Rap Rock, Urbano Latino, Fusion"
Gauchito Club,El camino de la libertad,Movimiento Astral,spotify:track:48nBfwB1kIZKMy1T3rHFE1,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock"
El Plan De La Mariposa,Volver a casa,Volver a casa,spotify:track:05195FLjI1KmJDB8MxHU1U,Rock Latino,"Folk Rock, Progressive Rock"
Gustavo Pena - El Príncipe,La Fuente de la Juventud,Une,spotify:track:6O4uaFbOVOPi2959RPp0gk,Canción de Autor,"Candombe Beat, Folk Uruguayo"
Spinetta Y Los Socios Del Desierto,Los Ojos,Extiéndete Una Vez Más,spotify:track:1m4aFW0kq5ktc0d5TLqlLq,Power Trio / Rock,"Hard Rock, Funk Rock, Fusion"
Rosario Bléfari,Misterio Relampago,Lobo,spotify:track:6EPUMzPlw1YN4kAS70ZGG3,Indie / Unmapped,Alternative / Various
Juana Molina,DOGA,caravanas,spotify:track:4yoF14WIqNJXDvTtHO7Jjh,Folktronica,"Experimental Electronic, Art Pop"
Pixies,Surfer Rosa,Gigantic - 2007 Remaster,spotify:track:5G2g1EbEtFSMkMbAnhl7FV,Indie / Unmapped,Alternative / Various
Amadou & Mariam,Je pense à toi,Je pense à toi,spotify:track:2ixJ6aH76bIu2VJqCyJJvO,Indie / Unmapped,Alternative / Various
Feli Colina,Feroza,Susurrito,spotify:track:7btTCfo8fyFOhqFXFdMi7b,Indie Folk,"Canción Latinoamericana, Avant-Garde Pop"
Axel Fiks,Hacedora,Hacedora,spotify:track:3CaqjyISMBli311fJtv44h,Indie Pop,"R&B Urbano, Bedroom Pop"
Ezequiel Borra,Destino trocado,Destino trocado,spotify:track:55kgTXqfcM3ixK0oc4gkeX,Indie / Unmapped,Alternative / Various
Indio Solari,"El Ruiseñor, el Amor y la Muerte","El Ruiseñor, el Amor y la Muerte",spotify:track:3y9nDqZdldeujrYdKXG9jS,Rock Argentino,"Hard Rock, Art Rock"
Maria Gabriela Epumer,Perfume,Quiero Estar Entre Tus Cosas,spotify:track:6y1dSNPeu4J6p3cm2lQ5xz,Indie / Unmapped,Alternative / Various
Los Fundamentalistas del Aire Acondicionado,Los Fundamentalistas del Aire Acondicionado en Huracán,Mi Genio Amor - En Vivo,spotify:track:36q5g0MLMa7Szw10hRLyue,Indie / Unmapped,Alternative / Various
Divididos,Amapola del 66,Amapola del 66,spotify:track:5gK8OkRTsm5bmDh3GGlRBA,Rock Argentino,"Hard Rock, Funk Rock, Folklore Rock"
Julio y Agosto,La niebla y la autopista,Amigo,spotify:track:2mQOM9xYTeYDv6CTq29Z2G,Indie / Unmapped,Alternative / Various
Pretenders,Original Album Series,Brass in Pocket,spotify:track:6YrHQ3Uv9YXK2gJNVTlT8P,New Wave,"Post-Punk, Pop Rock"
Future Islands,Singles,Light House,spotify:track:2nWCQC688OgFKIfzk6bqKk,Indie / Unmapped,Alternative / Various
NAFTA,NAFTA II,Un Milagro,spotify:track:7CqAwQW5OcOWgP6lVftST7,Neo-Soul,"R&B, Funk Calmo"
Lisandro Aristimuño,El Rostro de los Acantilados,Príncipe de Lata,spotify:track:2biEuPyQF03v5VZJjK8gWS,Canción de Autor,"Folktronica, Indie Folk"
Juana Molina,Segundo,¡Que llueva! - Remastered,spotify:track:1oclK8WGWyRrnosephfS5j,Folktronica,"Experimental Electronic, Art Pop"
Mora y los Metegoles,Suerte,Todo Lo Que,spotify:track:21L3Hra8KmZreOrRnenkGG,Indie Rock,"Garage Rock, Post-Punk"
Red Hot Chili Peppers,The Getaway,Sick Love,spotify:track:6GsP3uMCd0Dn5T37C93waZ,Alternative Rock,"Funk Rock, Hard Rock"
Viva Elastico,"Agua, Sal y Fiebre",Yo Te Quiero Más,spotify:track:1zcbJl96JMnSOtY6FbB7jO,Indie Rock,"Post-Punk, New Wave"
Rodrigo Cuevas,Manual de Cortejo,El Día Que Nací Yo,spotify:track:5S23UOkrexcAWHmyTeTbaU,Indie / Unmapped,Alternative / Various
Luis Alberto Spinetta,Estrelicia - MTV Unplugged,Correr Frente a Ti - En Vivo,spotify:track:54QjKmaWzE7I6zt50rOLkh,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
Natalia Lafourcade,De Todas las Flores,Caminar bonito,spotify:track:6YnvENj0TdekZctNH1LiFQ,Folk Latinoamericano,"Bolero, Son Jarocho, Canción de Autor"
Nina Simone,Little Girl Blue,My Baby Just Cares for Me (2013 - Remaster),spotify:track:5Lhjlnly9Ynhf52ojQS534,Indie / Unmapped,Alternative / Various
Martín Buscaglia,El Evangelio Según Mi Jardinero,Ante la Duda Todo,spotify:track:0Re9xvoCut8Too5k37Rdex,MPB Latino / Fusion,"Funk, Candombe Fusion, Pop Experimental"
Javiera Mena,Esquemas Juveniles,Perlas,spotify:track:3GHWq6rY91ixUhCrD9HDtn,Indie / Unmapped,Alternative / Various
Natalia Lafourcade,"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)",Soledad y el Mar (feat. Los Macorinos),spotify:track:1Xtz05nIgJiEYdncfd1w8h,Folk Latinoamericano,"Bolero, Son Jarocho, Canción de Autor"
Joni Mitchell,Blue,Little Green,spotify:track:11ZNWD9Xzq9p3n07NbWSZw,Folk,"Singer-Songwriter, Vocal Jazz"
Paul McCartney,Band On The Run,Band On The Run - 2010 Remaster,spotify:track:1H4idkmruFoJBg1DvUv2tY,Indie / Unmapped,Alternative / Various
Los Besos,Matemática sentimental,Matemática sentimental,spotify:track:3mRxdRzBEcydtMyUDxjRc6,Indie Pop,"Canción de Autor, Art Pop"
The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. One",Strangers,spotify:track:7obb4s6A7gf0Lc2AGxodMy,Classic Rock,"Garage Rock, Folk Rock, Proto-Punk"
Gabo Ferro,Todo lo sólido se desvanece en el aire,Si es hombre,spotify:track:38tUBkn7FHW9eaYMY55vdz,Canción de Autor,"Rock de Cámara, Experimental Folk"
Kings of Convenience,Riot On An Empty Street,Misread,spotify:track:3hxoYmSHzIBwSS2bPTOfbg,Indie / Unmapped,Alternative / Various
Pescado Rabioso,Artaud,"A Starosta, el Idiota",spotify:track:2DKqDAq0v3eKtzO8TpEPUB,Rock Argentino,"Hard Rock, Blues Rock, Proto-Punk, Folk Progresivo"
Taylor Swift,Midnights,Karma,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Indie Pop / Synth-Pop,"Folk-Pop, Chamber Pop"
Cate Le Bon,Mug Museum,Are You with Me Now?,spotify:track:7JSKAwskeR9SGtwJdarODc,Indie / Unmapped,Alternative / Various
Charly García,Clics Modernos,Dos Cero Uno,spotify:track:1JR6i97DVXhvUHyROnUdVF,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Don Osvaldo,Casi Justicia Social I,O No,spotify:track:6JoV7mUCM8ZIfD6xyatP6A,Indie / Unmapped,Alternative / Various
Maria Gabriela Epumer,Perfume,Canción para los Días de la Vida,spotify:track:0lUiN78CHqfijaluUJXFUM,Indie / Unmapped,Alternative / Various
Bandalos Chinos,BACH,Súper V,spotify:track:0mg2byuD682uvpn5M9tA6r,Indie / Unmapped,Alternative / Various
Nirvana,MTV Unplugged In New York,Jesus Doesn't Want Me For A Sunbeam,spotify:track:4UnbdQoTvXhiKpPCBgW8Tn,Indie / Unmapped,Alternative / Various
Adrián Berra,Respirar Bajo el Agua,Caminata,spotify:track:2FcZRjb9UKmH2PXW7U78MR,Canción de Autor,"Indie Folk, Canción Platense"
Milo j,La Vida Era Más Corta,Cuando El Agua Hirviendo,spotify:track:1EGahoey0DylpaNtGk3Mae,Indie / Unmapped,Alternative / Various
Mac DeMarco,This Old Dog,Still Beating,spotify:track:4LpUpiYoZ2M3Z1kmhn4EQo,Indie Rock,"Jangle Pop, Bedroom Pop, Psychedelic Pop"
Los Piojos,Ritual,Ando Ganas (Llora Llora),spotify:track:2tmJbUWhS3Wr7BcJLQkQPM,Rock Argentino,"Murga Rock, Candombe Rock, Blues Rock"
Devendra Banhart,Ma,Abre Las Manos,spotify:track:21ypdslAhK5dhLuHXIYIfG,Freak Folk,"Indie Folk, Psych Folk"
Ainda,INFINITO,INFINITO,spotify:track:6R36OoRubqAoD81wSDx3YZ,Indie Pop,"Indie Folk, Canción Pop / Canción Urbana"
Santiago Motorizado,"Canciones Sobre una Casa, Cuatro Amigos y un Perro",Muchacha de los Ojos Negros,spotify:track:5OJWS6R1ylErt69KGzGC6z,Indie Rock,"Canción de Autor, Bedroom Pop"
Martín Buscaglia,El Evangelio Según Mi Jardinero,Trivial Polonio,spotify:track:1turHGwcas9lMBzgSsdMnI,MPB Latino / Fusion,"Funk, Candombe Fusion, Pop Experimental"
La Chicana,Tango Agazapado,Juguete Rabioso,spotify:track:5z5c1TQrW8Cwm4m2VnGztj,Tango Canción,"Tango Fusion, Rock de Cámara"
Ibiza Pareo,Hay que venir al Sur,Hay que venir al Sur,spotify:track:2rHam5fmV5AFgHJNk80hHi,Electro Pop,"Synth-Pop, House"
Invisible,Durazno Sangrando,Dios de Adolescencia,spotify:track:1psO8ZpTON3hDYwpBfZekL,Indie / Unmapped,Alternative / Various
Charly García,Clics Modernos,Nuevos Trapos,spotify:track:0eChv3249vAoIl9oVlDPSP,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Lisandro Aristimuño,Ese Asunto de la Ventana,El Árbol Caído,spotify:track:2ReCEbAKkSxGmyFZor6WYg,Canción de Autor,"Folktronica, Indie Folk"
Marina Fages,Epica & Fantástica,Tu Modo Amable,spotify:track:3vDuQ61ZBif6zVZLnHnrC6,Indie Rock,"Punk Folk, Experimental Rock"
Pescado Rabioso,Pescado Rabioso 2,Credulidad,spotify:track:4i87tdrWu3qma3Wj7AEzeD,Rock Argentino,"Hard Rock, Blues Rock, Proto-Punk, Folk Progresivo"
Patricio Rey y sus Redonditos de Ricota,¡Bang! ¡Bang!... Estás Liquidado,Nuestro Amo Juega al Esclavo,spotify:track:14UY2VvUlmEmSd9ILCqyUz,Rock Argentino,"Post-Punk, Hard Rock"
Pearl Jam,rearviewmirror (greatest hits 1991-2003),Yellow Ledbetter,spotify:track:3Opz537W1MCVHShk0CgJHA,Grunge,"Alternative Rock, Classic Rock Revival"
Babasonicos,A Propósito,Deshoras - Version For USA,spotify:track:6ldqWKyI1x5UrTH9wtys72,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Babasonicos,Anoche,Capricho,spotify:track:16V5Xdw2fxJe94i0nHr3jY,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Bob Marley & The Wailers,Legend - The Best Of Bob Marley And The Wailers,Easy Skanking,spotify:track:1efuoLEUL1K0D96d63svRO,Reggae,Roots Reggae
boygenius,the record,$20,spotify:track:6KHYVC9avWQMH40pidRtcG,Indie Rock,"Indie Folk, Alternative Rock"
Fito Paez,Giros,Yo Vengo A Ofrecer Mi Corazon,spotify:track:2PhrL2xyZCqr5OPQJirv0i,Rock Argentino,"Pop Rock, Piano Rock"
Bad Bunny,Un Verano Sin Ti,Moscow Mule,spotify:track:6Xom58OOXk2SoU711L2IXO,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo"
Frank Ocean,channel ORANGE,Thinkin Bout You,spotify:track:7DfFc7a6Rwfi3YQMRbDMau,Indie / Unmapped,Alternative / Various
Diles que no me maten,Viene el viento,Viene el viento,spotify:track:12jGaAGvNUCNx2EPX3L7tl,Indie / Unmapped,Alternative / Various
Marina Fages,Epica & Fantástica,Piedra Marea Fuego,spotify:track:64FyoTZGcpuieDGERmxSZx,Indie Rock,"Punk Folk, Experimental Rock"
Fleetwood Mac,Greatest Hits,Gypsy,spotify:track:19Ym5Sg0YyOCa6ao21bdoG,Indie / Unmapped,Alternative / Various
Sílvia Pérez Cruz,Vestida De Nit,Vestida De Nit,spotify:track:0Tkkb29yC5WvXOwjgFZCLZ,Indie / Unmapped,Alternative / Various
La Maquina De Hacer Pájaros,Peliculas,No Te Dejes Desanimar,spotify:track:1MQpJgQp0goNJtEg9fBtnt,Rock Progresivo,"Symphonic Rock, Fusion"
Perotá Chingó,Perotá Chingó,La Copla / Vals de la Quebrada,spotify:track:4b8VydPFswN1RytWuJ94Iw,World Music,"Folk Latinoamericano, Acoustic Indie"
Luis Alberto Spinetta,Téster de Violencia,La Bengala Perdida,spotify:track:2MpxPSZRxlrU8zauSbHBJj,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
Juan Luis Guerra 4.40,Ni Es Lo Mismo Ni Es Igual,Amapola,spotify:track:5kSJ2mqDExZggKH5n7NBGm,Indie / Unmapped,Alternative / Various
Jeites,Jeites II,Bienvenida,spotify:track:6lwE28Yci3LIhGHgxHyYGb,Folk Rock,"Reggae Fusion, Canción Latinoamericana"
Fito Paez,La La La,Parte Del Aire,spotify:track:1e0PRmIuZP0ctXiWWgIiKX,Rock Argentino,"Pop Rock, Piano Rock"
